Author,Comment,Like Count,Published At
@darthdragonborn1552,Why did it take half a decade for Ryan’s forehead to be brought up and made fun of? I’ve been waiting years for this shit lol.,2,2024-11-23T04:14:06Z
@mrbigwheel11,Is pronounced   Jagayer  😂😂😂,2,2024-11-23T04:08:35Z
@douglasstewart4790,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=1153"">19:13</a> And don&#39;t forget that in Canada a year or two ago there was a big book burning which included Rowling&#39;s works. I think it was before all the church-burnings.<br><br><a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=4496"">1:14:56</a> They already did remake Birth of a Nation a few years ago, but this time they glorified the Turner Rebellion or something instead of those guys who liked to dress up like ghosts.",2,2024-11-23T03:45:06Z
@thomaspreston3618,I miss AZ,2,2024-11-23T03:40:36Z
@Nostromo2144,"Unworthy best picture Oscar winner??? Bah humbug! What other movies have lines as memorable as &quot;What we do in life...echoes in eternity&quot;.<br><br>My name is Maximus Decimus Meridius,<br>Commander of the Armies of the North,<br>General of the Felix Legions,<br>Loyal servant to the true emperor, Marcus Aurelius,	<br>Father to a murdered son,<br>Husband to a murdered wife,<br>And I will have my vengeance -- in this life or the next.",2,2024-11-23T03:22:32Z
@bhanukawijeyaratne6243,Blood for the blood god. Skulls for the throne of Khorne 😍💪🏻,2,2024-11-23T03:18:17Z
@Shaitanshammer,"Gary. Brian Herbert wrote the Machine Crusade books.<br><br>He claims he found a trove of unknown notes from his father in a safety deposit box.  Ahem... Don&#39;t worry. Simon Tolkien is sure to make a similar claim about his grandfather soon enough and begin meddling in his writing.<br><br>You were correct on the Real BBC. The Sci-Fi Channel Adaption of DUNE is the best most accurate faithful version. If you&#39;ve seen it,  its the best intro to the Universe short of reading Frank Herbert&#39;s 6 Canonical Books. <br><br>The director John Harrison spoke with the same sort of reverence for the source material that Peter Jackson did while adapting LOTR.<br><br>In fact both the Trilogy and Sci-fi Channel Miniseries probably went into production around the same point.",2,2024-11-23T03:03:20Z
@someoldwhiteguy6961,"Hey guys it&#39;s <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=90"">1:30</a> Saturday the 23rd in Oz I&#39;m sitting in my pergola with a couple of mates burning some meat drinking beers pissing ourselves laughing watching you on the big screen cheers from Oz",2,2024-11-23T02:34:48Z
@FaunTasticManuel,"Jaguar rebrand. . is a pass or gas or ass      so, last month Woke<br>  😏",2,2024-11-23T02:20:13Z
@DarthQueefious,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=130"">2:10</a> Oh well, I ain&#39;t  sleepin tonight...",2,2024-11-23T02:06:28Z
@Nostromo2144,"Correct, the audience, the fans, masculinity has and always will be as is. What is &#39;toxic&#39; is everything and everyone woke trying to shoehorn that, their own well deserved label, upon us. That is all.",2,2024-11-23T01:43:06Z
@BobbyWarren-m3q,I love how Americans are so proud of wining the war of 1776 against 10% of the uk army if that<br> it&#39;s like uk been proud of winning against zazaibar in 1896 😂,2,2024-11-23T01:38:26Z
@PrimeSportsNetwork,I was hoping to get some discussion on the Star Trek Unification video. 😮‍💨,2,2024-11-23T01:08:12Z
@themanofshadows,Special Ops Lioness is a pretty great show. S2 out now.,2,2024-11-23T01:02:26Z
@ApexCalibre,Did Metatron talk?,2,2024-11-23T00:59:43Z
@alx42013,X-rated girl in the nega soap commercial..... Scrumptiously delicious,2,2024-11-23T00:47:22Z
@dougcarey2233,"I love how all can say that Wicked was objectively good/well made, even if they didn&#39;t personally find it entertaining.",1,2024-11-25T21:59:27Z
@johnc6497,"&quot;Farmers have hoarded land for too long.&quot; <br>That take is so ugly and really just reinforced what people have been saying for over 10 years now, this form of leftism is nothing more than Communism 2.0. When communism was defeated in the 20th Century, they didn&#39;t give up, they just incubated in our education systems, reformed, and are at it again. Marxism is all over their ideology, and to have a take like that is also rooted in that soul-rotting envy that&#39;s common in Marxism.",1,2024-11-25T14:58:07Z
@stonebaxter,"Look at the casting for How to Train Your Dragon. A story based in Viking-era lore....and they are TERRIFIED of casting blondes. All the blondes were swapped. Funny that, huh?",1,2024-11-25T13:39:41Z
@5am278,I can only listen till gary goes full crypto zoology propaganda. Almost made it to the end,1,2024-11-25T04:22:21Z
@georgetteheyer,"As a fan of How to train your dragon, I agree with Shad that if you are going to do a live action version, do something different. Don’t just make an inferior copy of a masterpiece because I also agree with Disparu that they should not be making CGI filled ‘live’ actions. It’s basically still an animated movie at that point!",1,2024-11-25T04:08:50Z
@Butiguessilovememore,Ryan&#39;s autistic cope for 5/10&#39;s is getting as eye rolling as efap. Maybe one day he&#39;ll trade in his heterosexual card and become a panelist for it.,1,2024-11-25T03:18:59Z
@okmelancholico,Love to see Metatron here!,1,2024-11-25T02:31:56Z
@shaw2sebastian,The outcome of the discussion about HTTYD  is exactly the reason we keep getting these dumb remakes. Shad is right Ryan is wrong. This movie should not exist Period!,1,2024-11-24T22:31:05Z
@DonnaCPunk,"All I can say about Wicked is it&#39;s amazing how many people think it is ACTUAL canon, thought up by Frank L Baum, and not just some dude&#39;s Wizard of Oz fanfic.   The dumb TikToks I&#39;m seeing recontextualizing the 1939 movie with &quot;knowledge revealed&quot; about the Scarecrow in Wicked makes me want to kick the Wicked author in the face.    It&#39;s fucking FANFICTION.",1,2024-11-24T22:13:33Z
@joshuamack1566,Shad and Meta in the history corner,1,2024-11-24T20:07:00Z
@braedonwalther8564,We need lore accurate HALO,1,2024-11-24T19:16:49Z
@sabsinoname,"Omg… Great times back then, when you could watch new trailers in cinema instead of only commercial 😪",1,2024-11-24T18:07:08Z
@CurCam713,Metatron points out the same complaint FNT has made looking at new Marvel/DC vs the comics. The original material is far more interesting and would make a better movie.,1,2024-11-24T16:47:56Z
@Great_Watt,"I love that Shane Gillis is now the king of beer, but Bud light will never recover from that dumb campaign with that other dude.",1,2024-11-24T15:50:08Z
@TheSuperQuail,Mayr is so dumb,1,2024-11-24T15:13:53Z
@Silenthero66,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=3004"">50:04</a> Perfect example of fence sitting. Having your cake and eating it too. Sorry son, he was 1000% not black.",1,2024-11-24T13:58:32Z
@berserkirclaws107,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=167"">2:47</a> Chat Music is featured on Nerdrotic channel 👏👏👏👍",1,2024-11-24T09:43:29Z
@TheCHRISTIANALPHA,Epic intro,1,2024-11-24T05:44:57Z
@tatangakarvel8667,Try to do a SPELL while being force choked :D If it&#39;s the same well of power... wizards are bad force users that need antennas to make use of it.,1,2024-11-24T05:42:24Z
@ArwensHubby,"I have not seen &quot;Gladiator 2&quot; yet, but in a review I read this morning ... doesn&#39;t Lucius turn out to be Maximus&#39;s son by Lucilla?  Where did that come from or else did said review screw things up?",1,2024-11-24T04:11:46Z
@xrcs2002,Yall we&#39;re amazing 10/10  looking forward to next week! Hopefully my comments weren&#39;t too wierd. <br><br>Feels like a substantial amount of creative energy was restored.,1,2024-11-24T00:47:29Z
@mermaidmelodies1492,Speed Racer was the best anime to live action adaptation ever.,1,2024-11-23T21:52:06Z
@django_freeman27,Nega soap...😂😂😂,1,2024-11-23T21:22:26Z
@banzaibadger,"&#39;Wicked&#39;, &#39;Aliens:Romulus&#39;, and &#39;Gladiator 2&#39; are pure woke-cult garbage.",1,2024-11-23T20:51:43Z
@verygoofyalligatorwithshades,dam i guess wicked wasn&#39;t &quot;woke&quot; lol,1,2024-11-23T20:38:10Z
@gohanangered9650,"I wouldn&#39;t watch wicked, just because of the musical aspect. I literally can&#39;t stand musicals. lol",1,2024-11-23T19:58:55Z
@spikesbestsuit4282,A dude named Pedro being called &quot;white passing&quot; (which no he doesn&#39;t he doesn&#39;t look white even a little bit but that&#39;s cool) is super fucking racist.,1,2024-11-23T19:07:55Z
@Silentheaven89,Metatron is the man. Been watching his vids for a minute,1,2024-11-23T18:58:22Z
@deez3913,Wok-id is unfortunately going to be a hit unfortunately. Race swapping and biggot actresses get rewarded again 😢 especially with how great the musical is.<br><br>Gladiator 2 was actually okay imo. Then again this panel was sucking off how good alien Romulus was so....,1,2024-11-23T17:23:16Z
@305areacode4,"JK Rowling, for the UKs sake, needs to show the BRITISH people dominate the screen. The other diversity is fine as it is in the books.",1,2024-11-23T15:54:21Z
@jmace2424,The absolute irony of someone painfully skinny being named “Grande” 🤣,1,2024-11-23T15:49:38Z
@S4ns,"You guys all seemed to miss that spells in Harry Potter have to be spoken and all Luke has to do with the Force is THINK.<br><br>The second Harry gets one syllable of a spell out, Luke crushes his windpipe with Force choke. Game over.<br>And as for distance, let&#39;s not forget Vader was force choking Admiral Ozzel from a completely different part of an Executor-class Super Star Destroyer, with a length of about 19,000m. Now that&#39;s not to say they were on opposite sides of the ship but even the fact they were in different rooms alone makes it so Luke wins no diff AND GOOD GOD I MISS TALKING NERD SHIT LIKE THIS WITH NO FUCKING POLITICS!!!",1,2024-11-23T15:49:19Z
@SumGuy099,"Apparently im the only one who loved Gladiator 2. It did a damn good job rationalizing its existence to the first movie as everyone, myself included, were asking why there was a sequel happening. <br><br>Every character is perfectly fleshed out in an above average story with legitimately great action sequences while also having some twists and turns that were actually surprising. Like its been a while where i was in a theater and i was just like &quot;oh i wasnt expecting that&quot; and thats not even talking about masculine nature of the movie that so many people from this corner of the internet so desperately want. <br><br>The movie put in the work to be a good sequel to the first gladiator movie and i heavily recommend it to anyone who hasnt pre-emptively and arbitrarily decided its shit without actually seeing it. Its worth your time.",1,2024-11-23T15:46:37Z
@jasondunleavy3185,Oh my God is that the actual size is forehead or are you Photoshop it somehow?,1,2024-11-23T15:27:22Z
@SatansAvocado,Why is no one calling out Ariana Grande for doing White Face???🤔,1,2024-11-23T15:17:00Z
@tentoesdownchristianity,Metatron and Drinker. Hell yeah this is awesome,1,2024-11-23T14:56:43Z
@claymclaren5788,Go Metatron!! Great to see him on FNT,1,2024-11-23T14:53:09Z
@jay-tee-L,sellout,1,2024-11-23T14:44:37Z
@hobomaster6237,Metatron would be fantastic on Forbidden frontier,1,2024-11-23T14:14:12Z
@TheGreekdelight,I was watching metatron  before I started watching nerdrotic. This is absolutely epic! Love it!!,1,2024-11-23T13:20:03Z
@ibanezrg7421,Perry Chan damn near suffocated me with that intro. Comedic gold.,1,2024-11-23T13:06:57Z
@michelangelo_6933,Why do people feel the need to eat on camera ☠️☠️☠️ Especially people who don’t contribute shit anyway 😂 Odin👀,1,2024-11-23T13:02:17Z
@lawlietriver8869,"Waaaaait, you got Metatron on here now? FNT just keeps making great choices these days.",1,2024-11-23T12:51:00Z
@kariverson1,Thank you Metatron for that video you made debunking the garbage and perversion of history they have been spewing the last decade about Ancient Greece,1,2024-11-23T12:47:52Z
@jelvyk1528,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=105"">1:45</a> Does anyone know the music played during the intro with the washing machine after he comes out? It’s something I remember hearing but can’t name and it’s driving me crazy! Thanks in advance!",1,2024-11-23T12:20:22Z
@jelenitad1496,"Good, you brought Metatron!",1,2024-11-23T12:17:10Z
@coreyleader6206,There&#39;s no way the jag ad is a troll. Chato is a moron and always has been. You listen to the guy who made it talk about it and he fully believes this crap.,1,2024-11-23T12:12:52Z
@canaldecasta,"&quot;Gary, why do you care so much about ancient civilizations?&quot;<br>Gary: I was there, Gandalf.",1,2024-11-23T12:05:35Z
@pepita2437,Holy shit!!!!! It was such a surprise seeing Metatron on the show!!!!! XD :),1,2024-11-23T11:23:26Z
@interestedobserver587,Gary loses me when he spruiks Hancock.,1,2024-11-23T11:12:24Z
@massiveflops,Anyone remember how Ridley Scott painted Christopher Columbus as a pacifist in Conquest of Paradise 1492 ?,1,2024-11-23T10:59:29Z
@Talking_He4d,"Love Megatron, very fair with his analysis good dude.<br>Wouldn’t mind seeing him on here as a regular",1,2024-11-23T10:58:56Z
@armatura465,Shad is such an idiot at times.,1,2024-11-23T10:42:34Z
@LN-Lifer,The Harry Potter show is going go gay hard.<br>Mark my words<br><br>And there is no damn way all 3 of the kids are going to be white,1,2024-11-23T10:30:07Z
@michaeld.uchiha9084,"I think peopel funny who sai Gladiator 2 has unrealistic fight scenes.😂<br>Did they saw Gladiator, the fight scenes also are unrealistic.<br>Gladiator is a 9/10<br>Gladiator 2 is a 6.5/10",1,2024-11-23T10:08:05Z
@rizz917,You guys are absolutely brutal to Ryan. lol,1,2024-11-23T10:06:09Z
@davesimpson5185,That Opening is so good👍,1,2024-11-23T09:44:07Z
@PowerfulRift,Oh man my Superchat didn’t get read.,1,2024-11-23T09:27:22Z
@ChancellorOtomovonBismarck,"I&#39;m glad women get to have their own movies again. There haven&#39;t been all that many in the last 10 years. A lot of male properties have been &quot;re-tooled&quot; for female audiences and ruined for both men and women, but even then stuff like John Wick, historical movies, Alien etc. still get made (aside from quality). But actual female movies are quite limited in the mainstream. Someone probably still makes hallmark trash.<br><br>Also sorry Gladiator 2 IS bad. The acting is bad, the villains are comedic caricatures and the story is a repeat. If you saw this as a movie not connected to Gladiator (with changed names), you&#39;d be asking why Universal didn&#39;t sue the project out of existance for plagiarising their screenplay",1,2024-11-23T09:02:19Z
@JimJones4Life,Yo....that intro is sooooo LMFAO,1,2024-11-23T08:55:24Z
,"Also in Australia, in the state of Victoria, they snuck in inheritance tax recently,<br>So now some people who will never own a home but could inherit one, will have to cough up cash determined by an inspector based on the value of the house.<br>We all know they will screw people over and lie about the actual value to stop people owning homes.",1,2024-11-23T08:43:56Z
@Voxon199,awesome intro ! hail the 199!,1,2024-11-23T08:24:30Z
@AllThingsRuckus,Nega soap. That is all.,1,2024-11-23T08:22:03Z
@facina3390,Please make Metatron a reoccurring guest.,1,2024-11-23T08:20:12Z
@AllanTidgwell,"Shad, Mother Theresa wasn&#39;t a good person. The home for the dying she ran literally kept painkillers from suffering people because Mother Theresa believed that suffering brings people closer to God. <br>She was a sadist with a good PR department",1,2024-11-23T08:17:29Z
@GaudiaCertaminisGaming,"Guys, are we trying to gaslight Ryan into transitioning?",1,2024-11-23T07:45:51Z
@VladimirSutinovski,This channel and The drinker are my two most favourite and most watched channels and today I found that I have been unsunscribed from both! Youtube is evil i tell you!!!,1,2024-11-23T07:09:13Z
@kerrylawson7515,"Wha hae is a reference to a Robert Burns poem that starts, &quot;Scots wha hae wi&#39; Wallace bled...&quot;  (Scots who have with Wallace bled.)  He&#39;s the greatest Scots poet and that was like their national anthem for a long time.",1,2024-11-23T07:06:14Z
@The.Nasty.,Can anyone tell me what the song is in the Meta PC ad in the beginning? 🙏🏼,1,2024-11-23T06:36:34Z
@Caleb17-ym6pq,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=1743"">29:03</a> - They can put in political and social commentary and messaging as they like, the problem is that they always shoehorn it or hamfist it. What happened to subtlety and nuance?",1,2024-11-23T06:25:18Z
@evaper665,"Metatron❤❤❤ <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=130"">2:10</a> remember when a series had 20 or over episodes instead of 5?!",1,2024-11-23T06:19:01Z
@mattsmustang65,The Errol Flynn Robin Hood is still the best,1,2024-11-23T06:13:59Z
@Likexner,"If you want a sequel to Gladiator, just play Swords and Sandals 2 and make up your own story.",1,2024-11-23T06:10:30Z
@TheLlama90,METATROOOOOON!!!!! YAY! I was working during 😭,1,2024-11-23T05:57:38Z
@dredgen7715,"Intros, they soo funny rite now!",1,2024-11-23T05:44:30Z
@andrewdowler4479,When I saw gladiator I had the entire cinema to myself….on the opening day….it was an 4pm session….but ffs….cinema is dead!!!<br><br>The movie itself was pretty ordinary….I feel asleep at one point🦯🦯🦯,1,2024-11-23T05:42:16Z
@eugenefleming1614,Remember the first big star fired by the hollywierd regime was Gina Carano🤔 Mel Gibson was cancelled but was rich enough to uncancelled himself,1,2024-11-23T04:58:49Z
@barryrichards5015,i love your intros,1,2024-11-23T04:57:29Z
@hodor1765,"shad saying it was an ok movie is meaningless! XD <br>because he likes the twilight movies after all <br>so, i can&#39;t trust him XD",1,2024-11-23T04:27:36Z
@b.a.p.2731,"I am the only who noticed they took the fart out of Chrissie’s intro? 😮😢 <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=266"">4:26</a>",1,2024-11-23T04:20:11Z
@forcedinertia9187,Metatron addition put this on a whole new level,1,2024-11-23T04:18:39Z
@Tiah-mm8lp,"I want them to spoil Gladiator II completely, they should have done this last Friday. I have no interest in watching this movie. Maximus died at the end of the first one. This whole thing makes no sense.",1,2024-11-23T04:11:26Z
@darkocebuhar3889,I have a ? or you can call it dilemma.<br>Should i stop watching movies that have actors in that publicly supported kamala etc. for money ?,1,2024-11-23T03:56:47Z
@robg1151,If you need to buy a product in order to be a man you will never be a man. Gary selling that man crap is so sad.,1,2024-11-23T03:54:06Z
@chuckdel4639,The Thunderbolts team is f*<b>***</b> stupid for the characters are Captain America derivatives.,1,2024-11-23T03:48:24Z
@jrgs.,"Where would they get, keep amd move the sharks? Amphibians make more sense. I still don’t believe that shit was ever filled with water, sounds like fake history.",1,2024-11-23T03:44:41Z
@hamdinger7145,AZ is back,1,2024-11-23T03:38:36Z
@annatardlordofderps9181,"Disparu is close. <br><br>Gun ownership has to do more with existential security and the lack thereof.<br><br>More right-wing people have more sensitive amygdala&#39;s this results in an elevated state of threat, and right-wing people usually avoid cities so they dont get the extra security of so many additional people around.<br><br>This is also why you see disproportionately high rates of paranoia among right-wing voters.<br><br>Left-wing people have small amygdala&#39;s, so they have lesser sensitivity to threat detection. This, combined with the fact they like living in cities, has the leftist conclude that firearms are a needless fancy and are more likely to/actively are hurting more people than they are helping.<br><br>This is why leftists are so prone to radical systematic changes. They literally dont consider their alterations having a chance of going poorly.<br><br>There are trust based arguments both for and against gun ownership, both based on high and low trust.<br><br>High trust, for: &quot;We are all good people. Therefore, I can trust my neighbor with a means to defend himself.&quot;<br><br>High trust, against: &quot;We are a civilized people and can expect law enforcement to come to our defense when required.&quot;<br><br>Low trust, for: &quot;I dont trust the people around me not to assault, rob, or do worse to me. Therefore I need something to be able to defend myself.&quot;<br><br>Low Trust, against: &quot;I trust the government to be able to defend me more than my neighbors not to befowl me. Therefore, only the state can have firearms.&quot;",1,2024-11-23T03:27:52Z
@nbradgarrett,Props to special guest Kim Thayil,1,2024-11-23T03:07:41Z
@ViolentMessiah666,"Small correction Shad, Pierry learning how to deepfake makes him <b>more</b> of a menace to society 😂",1,2024-11-23T02:43:52Z
@bry756,Faguar vroom vroom,1,2024-11-23T02:42:20Z
@TuxedoCharlie,The B in LGBTQ confirms that there are only 2 genders.,1,2024-11-23T02:39:59Z
@mattmedium2388,GLAADiator.,1,2024-11-23T02:37:19Z
@willd1mindmind639,"Everybody involved in this DEI nonsense is full of sh*t, which includes the companies, the directors, producers and the actors and actresses themselves.  Case in point, if this is all about &quot;representation&quot; and showing diversity in the history of the world and its various cultures, why is it these black actors only want to be cast in previously white roles?   Why aren&#39;t they demanding more roles based on historical black or African cultures or traditions?     When was the last time Cynthia Arivo actually played a role of an African woman since she is obviously of African descent?     When is the last time David Oluweyo with an obvious African last name played the role of an actual African man?    But to hear them tell it, they want more roles exclusively set in Britain America, which aren&#39;t Africa and somehow that is supposed to be &quot;representation&quot;?   All of these people are totally full of BS with this mix and match version of reality where anybody can be anything they want from any gender to any culture and whatever else.   It is pathetic.",1,2024-11-23T01:59:14Z
@epicmage82,"In the Midwest, we&#39;ve seen Bud Lite as a gay brand since the 90s. 😆 Shane endorsing it doesn&#39;t change anything. Besides he has a small window of when he&#39;s even funny. The second he gets too drunk he stops making jokes and just bullies people like a dick.",1,2024-11-23T01:58:12Z
@Dorothy-i2n,Help needed! I’ve got some USDT in OKX and the seed phrase (obscure disagree shoe question clown holiday Tunnel stock inmate found scan pet). What’s the best way to move it to Binance?,1,2024-11-23T01:49:45Z
@whylie74,The forhead anthem has to be longer.,1,2024-11-23T01:47:48Z
@John-jy2qi,Wicked could open big but if it sucks it&#39;ll drop off,1,2024-11-23T01:39:16Z
@Paul-ez9pl,"Wait til they remake Brave, abominations",1,2024-11-23T01:26:40Z
@zhengyingli,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=5642"">1:34:02</a> It&#39;s kind of funny that conservatives keep failing to conserve anything. The most recent case is Nancy Mace, a Republican Congresswoman, currently fighting back against men dressing up as women invading women&#39;s spaces and yet she is okay with women invading men&#39;s spaces.",1,2024-11-23T00:40:36Z
@GRH_Roadhouse,Second <br>Roadhouse,1,2024-11-23T00:33:34Z
@korndog87,DAM i thought from the thumnail that critical was owen from viva la dirt league.....get owen on the show and ill watch it lol,0,2024-11-26T23:39:36Z
@jasonarmstrong6176,The nine critics... to rule them all...,0,2024-11-26T19:33:57Z
@Gulit99,Awesome seeing Metatron,0,2024-11-26T18:52:36Z
@jessicapinto3817,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=65"">1:05</a> Why does Ryan still look like Ryan😂😂",0,2024-11-26T16:16:52Z
@ToolsTime-o3z,Yeah I thought the cgi is very weak myself on toothless,0,2024-11-26T15:49:04Z
@JDMGearboxRepairs,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=8420"">2:20:20</a> discussing manual/stick shift transmissions. THAT’S WHAT I DO FOR A LIVING!!! 😬😬😬 thanks for the inclusion guys 🥰😍😍",0,2024-11-26T15:47:37Z
@SanswayNuna,"Now waita minute! You&#39;re telling me that they&#39;re going to maybe retroactively make Hermione black.... after Rowling made a big deal about how frizzy, puffy, and ugly her hair and how she hunted for smoothing spells in the books (something any of us curly hair white girls understand. Nobody wants to look like a haystack) and these fools don&#39;t see how that opens them up to &quot;See Rowling is racist because she thinks black girls need to strive for white girl hair&quot; or whatever other woke lies they want to make up after getting what they demanded. 🤨",0,2024-11-26T15:45:22Z
@Witchyrose2349,"Twister is indeed a solid and good movie!🙏🏻 <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=11880"">3:18:00</a>",0,2024-11-26T15:43:41Z
@ToolsTime-o3z,"The Worst movie ever made is Jem, hopefully one day they can make it how it&#39;s supposed to be based on the cartoon",0,2024-11-26T14:26:12Z
@Wyjadacz_Muzguf,"WOW, you&#39;ve included Metatron in FNT! Love his content for years now. Great choice!<br>Shout out to @metatronyt , long time fan &amp; subscriber here :)",0,2024-11-26T13:56:50Z
@Witchyrose2349,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=10000"">2:46:40</a> 😂😂😂😂😂",0,2024-11-26T12:51:29Z
@ciciolhaaqui,Here for Metatron!,0,2024-11-26T12:28:34Z
@franohmsford7548,Jaguar are targeting woke Tesla drivers pi$$ed off at Elon and wanting to replace the Tesla they bought five years ago.,0,2024-11-26T12:27:53Z
@ryanwalsh231,"Forgive me, who is the history guy? Id love to check his channel",0,2024-11-26T11:55:29Z
@mizenbarbarossa494,It’s funny that the UN is trying to demand how anime is done,0,2024-11-26T10:34:57Z
@TheOneWhoLaughs101,If James Gunn cancels Matt Reeves Batman Universe then his DC Universe can get F**ked... Won&#39;t be watching a single second of it and I&#39;m sure many won&#39;t either,0,2024-11-26T09:41:27Z
@hidden6ix742,"stop tokenising everything , hollywood. also if x-ray girl is reading this , you should have put a green light on yourself .",0,2024-11-26T09:09:14Z
@RocafellaPlaza,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=60"">1:00</a> Produced by <b>Raw Dong Lover</b> ?! 🤔 <br>Or Rawdon Glover",0,2024-11-26T07:08:39Z
@JimEadon,They call Zegler Snow Brown 😂,0,2024-11-26T05:36:40Z
@Fillycheesecake,When Ryan was talking about Nico Parker for a second there I had to rewind and listen to him pronouncing her name because I at first thought he said &quot;Negro Parker&quot; LMAO,0,2024-11-26T04:59:58Z
@bobby5359,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=11015"">3:03:35</a> I like “He has beforehead, forehead, and afterhead”😂😂",0,2024-11-26T04:46:00Z
@yaoiboytoy,"Do you folks REALLY want Hollywood to die? I find that difficult to believe and it really makes me sad. I love movies and want it to survive, but representation is important. Stop pooping all over it, please!",0,2024-11-26T03:29:53Z
@AvioftheSand,Been waiting for this collab forever. Love Metatron,0,2024-11-26T03:02:08Z
@deivec,please Korea and France save movie world....,0,2024-11-26T02:22:46Z
@jameschiles872,Good to see Metatron in the lineup! His knowledge of history and languages is mindboggling.  I like Denzel but in Glad2 I cant stand he still speaks with his South Chicago accent. You would think for 20 million he would at least smooth out his accent.,0,2024-11-26T02:16:14Z
@gingerbaker_toad696,Even the Pink Floyd cut is far superior to this and the other remake with James Franco,0,2024-11-26T01:52:03Z
@hellotommy,I freakin’ love how crazy everyone is today! Lol,0,2024-11-26T00:48:30Z
@fhn7861,They know the movie is good but can&#39;t admit it cmon GARY,0,2024-11-26T00:32:14Z
@GenghisDon1970,"death battle does assume full kill mode (probably correctly, as many battles fall apart w/o it)",0,2024-11-26T00:02:19Z
@CreationBrosZone-km5be,"Be Naked...most organs are fine to eat but not the liver, the body&#39;s toxin processing centre.  If you eat that you&#39;ll get hypervitaminosis -- VitaminA is a toxin, not a &quot;vital mineral&quot;, so don&#39;t eat it.  Now you can&#39;t say no-one tried to warn you.",0,2024-11-25T23:37:33Z
@ShyGuyInKilt,I loved Metatron Comeback about driving manual. ZINNNNGG!,0,2024-11-25T23:34:45Z
@theannamueller,"ryan needs to stop interrupting everyone all the time, it is a panel not his own show",0,2024-11-25T23:18:56Z
@GenghisDon1970,"good stuff except for the silly left slamming...left &amp; right matter not at all to any of that, it&#39;s a distraction, it&#39;s all about up &amp; down, rich vs poor<br>blackrock is not &quot;commie&quot;<br>the conservatives of australia are not &quot;commies&quot;<br>the WEF is not &quot;commie&quot;",0,2024-11-25T22:47:22Z
@ReticentXS,"Jesus, I need my channels to stop melding together.... Or do I? Nice to see Metatron on here",0,2024-11-25T22:41:12Z
@wesrm1,My impression is that Ridley Scott doesn’t care about historical accuracy.  He uses these eras as nothing more than a zoom background.,0,2024-11-25T22:03:23Z
@jm1984mp,Luscious was not maximus son they just all agreed he would make a better ruler and was just eluded to but not said. Since they expected him to one day be a great ruler like his grandfather could have been to much for him and he leaves on his own would be better than being sent away. Then the evil rulers swoop in and take rome and feels he needs to return and use what maximus did as a avenue to do it.,0,2024-11-25T20:36:07Z
@angelkiller,Wicked may make a billion dollars at this rate. 🤣,0,2024-11-25T19:32:57Z
@galenusv7831,"<a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=5940"">1:39:00</a>",0,2024-11-25T18:26:50Z
@McMahonHater,Denzel should have said &quot;Genghis Khan ain&#39;t got shit on me!&quot; Then the movie would have been great.,0,2024-11-25T17:32:09Z
@marktaylor6553,Pedro Pascal should have been cast as Reed Richard&#39;s lawn mower.,0,2024-11-25T17:27:00Z
@clumsyturtle8544,"Don&#39;t care how many times I see it, the forehead anthem is amazing every time.",0,2024-11-25T16:59:10Z
@25meip,&quot;Once one ant stands up to us then they all might stand up. This is not about [equality] it&#39;s about keeping those ants in line&quot; - A bugs life,0,2024-11-25T16:55:15Z
@desmondpowell3205,"Just cause Denzels in it they say it&#39;s woke, that&#39;s ridiculous. So every movie with a black lead is automatically woke now.",0,2024-11-25T16:10:29Z
@Dariogrossi0,"As an Italian, it&#39;s a blessing to hear someone pronounce &quot;Caracalla&quot; correctly",0,2024-11-25T15:51:48Z
@JeffBreyer,You guys say Snow White won&#39;t do well but my mum was even talking about it the other day and is interested in seeing it. We have to be careful about becoming our own echo chamber. I think it may be overall a flop for disney because of the money they spent on it I think a lot of people of an older generation may take grand kids and such to see it.,0,2024-11-25T15:16:56Z
@Matty_Metal,"I’m timestamping <a href=""https://www.youtube.com/watch?v=-A4iz5OvKLc&amp;t=158"">2:38</a> just for my own repeat enjoyment 😅",0,2024-11-25T15:07:15Z
